發生時間,發生地點,死亡人數,車種
110年02月05日 07時35分00秒,彰化縣秀水鄉金興村番花路 / 彰化縣秀水鄉金興村正興路,1,普通重型-機車;普通重型-機車;乘客-人
110年02月05日 09時30分38秒,雲林縣北港鎮好收里雲162公路與產業道路口,1,營業用-小貨車(含客、貨兩用);普通重型-機車
110年02月05日 11時10分00秒,雲林縣東勢鄉四美村四美,1,普通重型-機車
110年02月05日 13時06分26秒,雲林縣二崙鄉定安村田寮(田寮28東17K2463FB32電桿),1,普通重型-機車;自用-小客車;自用-小貨車(含客、貨兩用)
110年02月05日 13時57分00秒,彰化縣鹿港鎮洋厝里鹿草路3段 / 彰化縣鹿港鎮洋厝里新厝巷,1,自用-小貨車(含客、貨兩用);普通重型-機車
110年02月05日 18時16分11秒,宜蘭縣頭城鎮吉祥路142號前0.0公尺北側,1,自用-小客車;行人-人;行人-人
110年02月05日 18時22分00秒,新北市板橋區新北市板橋區民生路3段40號,1,普通重型-機車;腳踏自行車-慢車;營業用-曳引車;民營客運-大客車
110年02月05日 18時22分00秒,高雄市岡山區大仁北路 / 高雄市岡山區大仁北路,1,普通重型-機車;電動自行車-慢車;自用-小客車
110年02月05日 18時58分00秒,臺中市豐原區翁子里豐勢路2段245巷前0.0公尺,1,普通重型-機車;行人-人
110年02月05日 19時14分00秒,新北市板橋區新北市板橋區長江路1段105巷與環河西路,1,普通重型-機車;普通重型-機車
110年02月06日 06時30分00秒,桃園市觀音區工業七路10號前0.0公尺,1,營業用-大貨車;普通重型-機車
110年02月06日 07時21分00秒,臺北市萬華區大理街 / 臺北市萬華區雙園街,1,自用-小客車;行人-人
110年02月06日 08時20分00秒,臺南市將軍區忠嘉里南21線3.5公里,1,普通重型-機車;自用-小客車
110年02月06日 09時11分00秒,高雄市前鎮區中山四路 / 高雄市前鎮區凱旋四路,1,營業用-曳引車;普通輕型-機車
110年02月06日 10時11分39秒,臺南市仁德區保安里文賢路2段45號,1,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人;乘客-人
110年02月06日 11時37分36秒,桃園市中壢區圓光路2段口 / 桃園市中壢區大莊路,1,自用-小客車;普通重型-機車;乘客-人
110年02月06日 16時43分00秒,新北市鶯歌區新北市鶯歌區堤外道路1K+000,1,普通重型-機車;營業用-曳引車
110年02月07日 02時55分12秒,花蓮縣豐濱鄉台11線 47公里200.0公尺處東側向外側,1,自用-小客車
110年02月07日 13時33分00秒,南投縣鹿谷鄉股聲巷9號附近,1,普通重型-機車
110年02月07日 18時24分51秒,臺南市仁德區中洲路陸橋國道一號上方,1,普通重型-機車;動力機械-其他車
110年02月07日 19時09分37秒,臺南市永康區王行路1102-10號,1,遊覽車-大客車;行人-人;計程車-小客車
